cn,wr,epR17,lowskill,ORc_quar,imCom3,MIPEXg
IE,1,1.668033068,27.46545,2.376634,0.5350033,1
UK,1,1.448219269,25.66291,1.912201,0.3720271,3
CH,3,1.505651659,19.98473,2.137334,0.2403439,4
DK,4,1.721621066,28.76393,2.413753,0.3477348,4
ES,2,2.651492928,34.16298,3.81161,0.2821296,2
BE,3,2.367518897,23.53252,2.556272,0.2806465,1
FI,4,2.210192782,23.95289,1.790548,0.288707,1
LU,4,2.812773896,20.58698,2.832162,0.3163426,2
AT,3,2.137280774,26.29204,3.094456,0.3088872,4
NO,4,2.491869618,23.21465,2.725418,0.2592593,2
GR,2,2.693588091,30.05071,2.56876,0.5828704,5
SE,4,2.140176576,24.21916,2.332807,0.2322503,1
FR,3,3.176120443,25.78298,1.538869,0.21875,3
DE,3,2.141576201,21.17223,2.279085,0.3153373,3
IT,2,2.46629885,28.82499,2.998215,0.2872388,3
PT,2,2.961826131,29.38321,2.087851,0.1914352,1
NL,3,3.267475163,23.85559,1.888497,0.2904167,3
